English word,French word,Frequency
plead,plaider,31
please,S'il vous plaît,265
pleasure,plaisir,75
pluck,cueillir,81
point,point,73
poison,poison,46
policy,politique,20
porter,porter,8
possible,possible,24
pound,livre,36
power,Puissance,168
practice,entraine toi,20
praise,louange,113
prayers,prières,39
precious,précieux,64
prepare,préparer,34
presence,présence,55
present,présent,183
pretty,jolie,93
pride,fierté,39
priest,prêtre,22
prince,prince,43
prison,prison,24
private,privé,52
prize,prix,24
proceed,procéder,18
proclaim,proclamer,23
profit,profit,23
project,projet,7
prologue,prologue,12
promise,promettre,60
proof,preuve,37
proper,correct,56
protector,protecteur,1
protest,manifestation,25
proud,fier,140
prove,prouver,182
provided,à condition de,17
public,Publique,53
purpose,objectif,99
purse,bourse,30
quality,qualité,23
quarrel,querelle,60
queen,reine,40
question,question,79
quick,rapide,59
quiet,silencieux,45
quite,assez,51
quoth,quoth,60
raise,élever,40
ransom,une rançon,34
rascal,coquin,20
rather,plutôt,226
readable,lisible,1
ready,prêt,64
realm,domaine,20
reason,raison,153
receive,recevoir,63
regard,qui concerne,20
reign,règne,16
remain,rester,30
remedy,remède,11
remember,rappelles toi,94
render,rendre,33
repair,réparation,27
repent,se repentir,27
report,rapport,69
reputation,réputation,21
request,demande,27
respect,le respect,56
return,revenir,102
revenge,vengeance,56
reverence,révérence,16
revolt,révolte,15
right,droite,178
rivers,rivières,8
rogue,coquin,19
rotten,pourri,28
rough,rugueux,44
round,rond,46
royal,Royal,190
sacred,sacré,46
safety,sécurité,35
saint,Saint,5
satisfied,satisfait,8
saying,en disant,35
scarce,rare,59
scene,scène,19
scorn,mépris,61
search,chercher,21
season,saison,17
second,seconde,85
secret,secret,50
seeing,voyant,30
senator,sénateur,2
sense,sens,58
sentence,phrase,24
servant,serviteur,77
serve,servir,145
service,un service,100
seven,Sept,54
several,nombreuses,79
shadow,ombre,41
shake,secouer,76
shall,doit,2949
shame,la honte,130
shape,forme,47
sharp,tranchant,56
shepherd,berger,20
shine,éclat,25
shore,rive,11
short,court,56
shortly,prochainement,28
should,devrait,1344
shows,montre,75
sickness,maladie,29
sight,vue,75
silence,silence,32
silver,argent,42
simple,Facile,57
since,depuis,238
single,Célibataire,52
sirrah,sirrah,3
sister,sœur,65
skill,compétence,19
slain,tué,46
slander,calomnie,26
slave,esclave,36
sleep,sommeil,102
slender,mince,8
small,petit,72
smell,odeur,38
smile,sourire,38
soldier,soldat,54
solemn,solennel,37
something,quelque chose,122
sometime,parfois,53
sooner,plus tôt,46
soothsayer,devin,2
sorrow,chagrin,98
sorry,Pardon,59
sought,recherché,27
souls,âmes,48
sound,du son,87
sovereign,souverain,62
spare,de rechange,44
speak,parler,659
speaks,parle,83
special,spécial,36
speech,discours,55
speed,la vitesse,52
spend,dépenser,55
spirit,esprit,119
spite,dépit,36
spoke,parlait,103
sport,sport,59
spring,printemps,25
staff,Personnel,16
stain,tache,25
stand,supporter,351
stars,étoiles,31
state,Etat,129
steal,voler,62
steel,acier,24
steward,intendant,11
still,encore,311
stomach,estomac,15
stone,calcul,17
stood,se tenait,65
store,boutique,21
storm,orage,19
story,récit,36
straight,tout droit,59
strange,étrange,157
street,rue,19
strength,force,70
strike,la grève,84
stroke,accident vasculaire cérébral,24
strong,fort,122
struck,frappé,55
study,étude,33
stuff,des trucs,31
subject,matière,63
substance,substance,24
success,Succès,14
sudden,soudain,58
suddenly,tout à coup,25
suffer,souffrir,58
summer,été,41
supper,souper,18
surely,sûrement,22
suspect,suspect,23
swear,jurer,150
sweat,transpiration,24
sweet,sucré,566
swift,rapide,51
sword,épée,146
swore,juré,40
sworn,juré,92
table,table,26
tailor,tailleur,14
taken,pris,56
tarry,goudronneux,20
taste,goût,48
taught,enseigné,43
teach,enseigner,80
tears,larmes,117
tedious,fastidieux,33
teeth,les dents,24
tells,raconte,38
tempest,tempête,27
tender,soumissionner,114
terms,termes,36
thank,remercier,272
their,leur,1894
themselves,se,80
there,Là,871
therefore,par conséquent,266
therein,la bride,39
these,celles-ci,993
thief,voleur,23
thing,chose,231
think,pense,736
third,troisième,53
those,ceux,433
though,bien que,370
thought,pensée,248
thrive,prospérer,27
throat,gorge,19
throne,trône,13
through,par,198
throw,jeter,76
thrust,poussée,44
thunder,tonnerre,21
times,fois,142
title,Titre,61
together,ensemble,56
tongue,langue,188
tonight,ce soir,14
touch,toucher,79
toward,vers,82
tower,la tour,3
train,train,14
traitor,traitre,48
tread,bande de roulement,28
treason,trahison,39
treasure,Trésor,32
trial,procès,26
tribunes,tribunes,12
trick,tour,29
triumph,triomphe,22
trouble,difficulté,53
truly,vraiment,73
trumpet,trompette,44
trust,confiance,113
truth,vérité,151
turns,se tourne,40
twice,deux fois,50
tyrant,tyran,26
uncle,oncle,80
under,sous,194
understand,comprendre,78
undertake,entreprendre,34
undone,défait,20
unhappy,malheureux,24
unknown,inconnue,22
unless,sauf si,62
until,jusqu'à,37
unworthy,indigne,30
utter,prononcer,26
valiant,vaillant,104
valour,valeur,45
vantage,avantage,20
vengeance,vengeance,34
version,version,1
victory,la victoire,13
villain,scélérat,61
violent,violent,36
virtue,vertu,106
visit,visite,45
voice,voix,71
walls,des murs,37
warlike,guerrier,55
warrant,mandat,136
waste,déchets,31
watch,regarder,69
water,eau,74
wealth,richesse,46
weapons,armes,19
weary,se lasser,51
weeds,mauvaises herbes,20
weeping,larmes,28
weight,poids,24
welcome,Bienvenue,131
wench,jeune fille,13
whence,d'où,51
where,où,588
wherein,où,53
whether,qu'il s'agisse,52
which,lequel,1274
while,tandis que,110
whither,où,28
whole,entier,104
whore,putain,10
whose,dont,374
widow,veuve,32
willing,prêt,24
window,la fenêtre,15
wings,ailes,26
winter,hiver,27
wisdom,sagesse,55
witch,sorcière,17
withal,avec,15
within,dans,191
without,sans pour autant,257
witness,témoin,69
wives,épouses,23
woman,femme,139
wonder,merveille,66
works,travaux,17
world,monde,288
worse,pire,98
worship,culte,57
worth,vaut,136
would,aurait,1913
wound,blessure,38
wounded,blessés,22
wrath,colère,15
wretch,misérable,18
write,écrire,85
written,écrit,26
wrong,faux,95
wrought,forgé,30
yield,rendement,99
yonder,là-bas,41
young,Jeune,333
yours,le tiens,65
yourself,toi même,117
youth,jeunesse,114
